,0,1,2,3,4,5,6
0,-0.11319358,-0.0845767,0.615819,1.2210506,0.19204767,0.20637181,0.49945813
1,-0.10670002,-0.08857451,0.027054822,0.8382716,0.39285153,0.007377362,0.4834854
2,-0.10982497,-0.07891964,0.5439192,0.58193403,0.22918496,0.5125295,0.8080948
3,-0.11180626,-0.085052826,-0.046738442,1.1415554,-0.013827348,0.27093914,0.53420043
4,-0.10843359,-0.09073342,1.1108183,-0.25912884,-0.07967573,0.3969119,0.3820176
5,-0.11296679,-0.10035589,1.1643379,-0.14916793,0.8129616,1.3147545,0.1847602
6,-0.11143895,-0.07581848,0.050532196,1.1394353,-0.28156337,0.22439356,0.39996463
7,-0.119259536,-0.09508193,0.90873027,-0.29548398,0.066991396,0.034684304,0.9781161
8,-0.11020032,-0.07644586,0.56799436,0.707466,0.39539286,0.39432785,0.6755719
9,-0.103184104,-0.08677539,1.040569,0.103525914,0.1530666,1.3348677,0.24953225
10,-0.12159079,-0.10333088,1.1160936,0.6652906,0.9904077,1.1803954,0.5405052
11,-0.11295545,-0.08957471,0.5136357,1.105707,-0.112450205,0.21156007,0.3439981
12,-0.122859396,-0.09769706,0.5406133,0.98485315,0.13016248,0.46257293,0.51254237
13,-0.10682757,-0.08310198,-0.0011419897,1.0409316,0.74213386,0.3470164,-0.24770346
14,-0.10431039,-0.09326345,-0.04284459,0.6382881,-0.19033512,0.4937755,0.96551114
15,-0.108210504,-0.0940798,-0.009152168,0.28377032,1.4023181,0.1807495,0.10859651
16,-0.103373885,-0.0745043,0.00445888,1.06637,0.8978103,0.43767303,0.7349283
17,-0.10858586,-0.07554468,0.5881537,0.111633666,0.98461914,0.11720101,0.41449893
18,-0.111274235,-0.101034254,0.046288107,-0.44917187,-0.31889144,0.4251488,0.7298598
19,-0.10989737,-0.08672257,-0.007983023,0.8620509,0.27039415,0.113328524,0.18603276
20,-0.10484694,-0.10677967,0.9962516,-0.11026438,-0.17871645,0.37847805,0.39936718
21,-0.11358217,-0.080540106,-0.013330037,0.28666234,0.6660143,0.055236492,0.64960945
22,-0.1137087,-0.08978669,0.52183044,-0.026824052,0.6429563,0.31817892,0.2803755
23,-0.109514065,-0.083268754,-0.11230918,-0.23739651,-0.022032643,0.13259724,0.7799536
24,-0.11088544,-0.07928119,0.5826655,-0.13577524,0.5744665,0.5934451,0.16650254
25,-0.10930449,-0.10125719,-0.0072523896,0.32667705,-0.19909379,-0.21108523,-0.2959868
26,-0.107264124,-0.079278536,0.5528,0.02332825,0.19255228,0.6781342,0.29055187
27,-0.10998784,-0.08594328,0.5834757,0.36693954,0.09623707,0.3645973,-0.0034396593
28,-0.11621344,-0.08678369,0.6215712,-0.26610312,0.03686488,0.40573516,0.3601302
29,-0.10847218,-0.08837314,1.0475968,-0.42225805,0.8353659,0.18854797,0.5519486
30,-0.10733161,-0.10113385,-0.033407684,-0.08845302,-0.27107617,-0.001620615,0.5184846
31,-0.11040715,-0.06838517,1.0979931,0.9193812,-0.33439627,0.28343534,0.062426243
32,-0.10576639,-0.081501335,0.56735903,-0.048549827,1.0887773,-0.07418712,0.24713261
33,-0.10263251,-0.07200354,0.71562874,-0.015202099,1.1629622,0.24655148,0.5899296
34,-0.103298105,-0.08700766,-0.036181595,0.37387294,-0.18810686,0.4231921,0.9175996
35,-0.106427774,-0.08444651,1.0540239,0.5581105,0.9721617,1.4261892,0.5411855
36,-0.10697725,-0.079621546,1.0836846,0.38231617,-0.21157989,0.73196286,0.8681326
37,-0.103044115,-0.093288876,1.1465591,0.62831885,1.0023602,0.8681811,0.29800987
38,-0.10938263,-0.07081444,0.53058857,0.29321486,0.13984689,0.2637296,-0.11325582
39,-0.11281789,-0.0890613,-0.03854465,0.4746878,1.3033768,0.17700174,0.16012734
40,-0.113801315,-0.08669769,0.043814156,1.2291114,0.4584651,0.31633732,0.4731528
41,-0.10985295,-0.08997589,0.015099144,-0.37456754,1.0471834,0.5936166,0.5383991
42,-0.10257001,-0.07152745,-0.017488534,-0.19896284,0.053583328,0.70149136,0.39954263
43,-0.110080786,-0.07165589,0.50267905,0.24881242,0.25287703,0.31053275,-0.16492209
44,-0.10861466,-0.08669456,1.141484,0.55926496,0.31759933,1.9067227,1.1530914
45,-0.117886275,-0.085764505,0.66514283,0.923834,1.0767524,-0.007529104,0.31596592
46,-0.11458128,-0.07367813,0.69917506,-0.39140865,0.020306056,0.04219014,0.8967302
47,-0.113726094,-0.09333054,1.0835968,0.59290373,0.104291685,1.9617828,1.0783902
48,-0.10925375,-0.08543265,-0.014551753,0.8629053,0.28703886,0.10646964,0.23625669
49,-0.106847666,-0.10342663,0.5739853,0.7943419,0.10683615,-0.058186527,0.9874464
50,-0.10606067,-0.075655855,0.0016583259,-0.06484445,0.0068904217,0.54055244,0.64524955
51,-0.11448752,-0.08593852,0.5819847,0.27303115,0.771634,-0.062633984,0.74436945
52,-0.11384689,-0.084549546,1.0954938,1.0988853,-0.12480309,0.6821309,0.6114003
53,-0.11834401,-0.08251334,0.55104625,1.0851586,-0.29676077,0.29026926,0.25783336
54,-0.11873493,-0.097248085,1.0932771,0.47687837,0.84914964,1.8957682,1.2429725
55,-0.10499986,-0.08781279,0.11562038,0.44601786,1.2171434,0.21645276,-0.081102185
56,-0.10740574,-0.07916465,1.0903462,-0.20287356,0.67880464,0.044011835,0.5261259
57,-0.10291697,-0.090945095,1.1352817,0.12144131,1.2139248,1.272053,0.71001303
58,-0.113868766,-0.09243587,-0.0774902,0.5226096,0.6464413,-0.07538193,0.1996857
59,-0.10133744,-0.074992664,0.08306677,-0.3366103,1.0666152,0.4911832,0.3500999
60,-0.11600329,-0.08310871,0.462348,0.04351932,0.39619538,0.32618847,0.5125778
61,-0.102081455,-0.08824956,0.41278458,-0.1954864,0.03339291,0.6736321,0.32920793
62,-0.11030102,-0.08903118,0.012748038,0.06591774,1.083193,0.20387532,0.35732788
63,-0.10724206,-0.085534714,0.43838418,0.37176812,0.36308098,0.51124537,0.7449875
64,-0.10523024,-0.086777024,0.6797342,1.0847112,-0.09042754,0.09399573,0.20647627
65,-0.11414434,-0.09050014,-0.08541002,0.87604624,-0.029678876,0.37996167,0.41414076
66,-0.10428938,-0.0926147,-0.06676214,1.1792063,0.04271317,0.50562954,0.43158618
67,-0.103004806,-0.06640241,0.6309222,0.16003844,0.98280257,0.17062265,0.90732086
68,-0.105127074,-0.08836835,1.1021473,-0.09293034,0.9046277,1.0585982,1.1327924
69,-0.11874794,-0.0806653,0.8269566,0.36149117,0.31135303,0.30446476,1.0550787
70,-0.109406486,-0.09405392,1.1147822,-0.15920517,1.0052416,0.41565844,0.5692625
71,-0.11231571,-0.09003103,0.11143429,0.88832605,0.060069714,0.18905635,0.115129806
72,-0.111018464,-0.07463902,-0.0977874,1.0489306,0.38061494,0.13289946,0.22969198
73,-0.10844075,-0.07857856,0.5516855,0.43983907,0.6245453,0.24785882,0.5019337
74,-0.10593576,-0.09107644,-0.015159035,0.79586107,0.6171257,-0.027815336,0.65271026
75,-0.11676691,-0.08608218,0.51702064,1.1782948,0.89390594,0.28138196,0.66002876
76,-0.10879657,-0.08111754,0.6461169,0.97499794,-0.43040553,0.6192921,0.28412548
77,-0.11431654,-0.08778492,0.63289064,1.2004634,0.3352563,0.19122112,0.51236737
78,-0.11410939,-0.07913856,0.51486397,0.14110759,0.41892186,0.31960335,0.2652994
79,-0.115216054,-0.09415738,1.1193668,0.50064975,0.62377715,2.0481246,1.2621713
80,-0.11035717,-0.10272433,0.6085216,0.87089866,0.3122069,0.49874222,0.90178365
81,-0.108226344,-0.09352379,0.4255396,-0.07187139,-0.74724513,0.32311204,0.75909996
82,-0.10183823,-0.0764527,1.0780131,0.296825,0.6117008,1.1741283,0.77003545
83,-0.10972196,-0.09912715,0.07586271,0.6161705,-0.17366204,-0.05238187,0.11721004
84,-0.10683305,-0.08293273,-0.052120354,-0.3468676,0.5468868,0.24601376,0.008662229
85,-0.111191,-0.100344084,0.5016535,0.42965397,-0.12144544,0.39252585,-0.059160706
86,-0.10672968,-0.0852621,1.0976123,1.0135993,0.22128904,0.7710252,0.35997593
87,-0.10987522,-0.080173045,0.5846077,0.7389263,-0.35606995,0.17484866,0.5366337
88,-0.11406135,-0.070328094,1.0879995,-0.23556748,0.78788716,-0.009007717,0.5409989
89,-0.11129833,-0.09138207,-0.07427799,1.1079475,0.023503756,0.35074377,0.0763096
90,-0.10719068,-0.080031045,0.47636628,-0.21783224,0.5950594,0.7381077,0.66075176
91,-0.10743805,-0.08544938,0.5807633,0.2548762,0.96927637,-0.0031165723,0.0939602
92,-0.11143542,-0.07788644,1.0784383,0.5771335,0.3709991,1.2443165,0.6618159
93,-0.10557284,-0.096947104,-0.39790532,1.2395749,0.91074073,0.26829648,-0.0076157097
94,-0.109821424,-0.08261305,0.013246035,0.55859506,0.30109778,0.09752757,0.5991147
95,-0.107829854,-0.08435319,-0.05011114,0.07012049,1.0099877,0.36412227,0.35246596
96,-0.11230018,-0.094017304,-0.023240084,-0.32502797,0.55362844,0.50587165,0.93377674
97,-0.10755489,-0.088565014,0.7008359,-0.2734135,1.2022111,0.27488413,-0.2905967
98,-0.11585169,-0.08644876,0.6260817,-0.14706603,0.22640426,0.17330317,0.70152515
99,-0.10667828,-0.09565503,-0.07385381,-0.09461781,0.6146518,0.36650988,0.49175045
100,-0.10435085,-0.08140729,1.1805288,0.39749643,0.5087851,1.0059992,0.46187833
101,-0.11324029,-0.084644765,1.1720191,0.08634997,0.22700395,0.5403807,0.5501549
102,-0.108498424,-0.10109308,0.23404288,0.27679446,0.17712478,-0.18113479,-0.43565443
103,-0.10966313,-0.08539901,0.61543375,0.9097754,0.31151715,0.45795503,0.66665226
104,-0.10964232,-0.08390633,0.56906676,0.5877344,0.289611,0.12317134,0.474257
105,-0.114567034,-0.10205507,0.09647382,0.68687177,0.91307807,0.49696591,0.39353725
106,-0.11252971,-0.07997423,0.56099856,-0.07141527,0.65879613,0.06605134,0.26506504
107,-0.11018059,-0.07748197,0.5433889,0.5220364,0.052647416,-0.15696129,0.2442297
108,-0.11758443,-0.07384613,1.0154434,0.04762021,1.1616584,0.3773445,0.9325919
109,-0.098667435,-0.07252793,-0.04349446,-0.29367062,-0.11087414,0.23192087,0.23319596
110,-0.10437113,-0.07090748,1.0631505,0.7761429,0.6704053,0.986852,0.6905164
111,-0.11016338,-0.09781848,-0.0490998,0.6172327,-0.04269242,0.15229788,0.6228918
112,-0.116672054,-0.09423952,0.76128715,-0.3933964,-0.20070425,0.35855344,0.96825963
113,-0.109561756,-0.085897386,-0.028240109,0.39984235,0.27187037,0.3119328,0.42473903
114,-0.10172205,-0.09489585,0.04586691,0.7827682,1.2260339,0.19199923,0.8887648
115,-0.102077454,-0.07014238,-0.016239578,-0.09276041,0.04086155,0.6396239,0.46900684
116,-0.11482173,-0.09071924,0.047377918,0.3970904,0.96306837,-0.012567991,0.49399063
117,-0.1137614,-0.09073172,0.6249431,-0.11389383,-0.050943997,0.39606127,0.9306064
118,-0.10069868,-0.08903394,1.183558,0.20065789,-0.8154281,0.85576576,0.54188883
119,-0.11074256,-0.096361265,1.0130285,-0.18243203,-0.022816205,0.55037785,0.27683023
120,-0.10551176,-0.083040245,1.063254,-0.24693754,-0.21605065,0.3026723,0.7069653
121,-0.1007895,-0.071812585,1.1265774,0.451165,0.30331373,1.2489568,0.44473267
122,-0.10274037,-0.07533502,-0.039988603,0.15220016,0.16345161,0.539959,0.87726194
123,-0.117714345,-0.10740757,-0.02250784,0.3523064,-0.34786817,-0.1398013,0.046271328
124,-0.111808404,-0.07677791,0.12693003,0.9255909,0.75376374,0.13150072,0.7649925
125,-0.10692087,-0.08333434,0.011531806,1.0309064,0.705919,0.3208052,-0.41198215
126,-0.108297914,-0.089333996,0.022354072,0.43171585,1.2503058,-0.03309005,-0.05099311
127,-0.11228528,-0.08518582,0.5002331,-0.047761288,0.3381586,0.54042834,0.61348736
128,-0.109137714,-0.08260721,0.51141375,0.58666265,0.16971818,0.55984217,0.5843178
129,-0.114020675,-0.07914946,0.57115465,0.6397887,-0.29871812,0.49931803,0.17952733
130,-0.09099256,-0.0633991,-0.003132129,-0.02064749,0.13853312,0.73509055,0.24507524
131,-0.10837825,-0.09076641,0.6008825,-0.21621367,1.0838385,0.2991822,-0.10732653
132,-0.100844905,-0.08100948,1.0480541,0.88784003,0.88188523,1.3025968,0.416836
